user,date,rating,content
artoffilmorg,"Apr 18, 2018",9/10,"Hitchcock at his sharpest. Art and commerce in a delicious salad with all the right ingredients. A brisk screenplay by Ernest Lehman a Cary Grant that is just pure delight, Eva Marie Saint fresh out of her Oscar from ""On the Waterfront"" is an icy blonde with a brain. James Mason, the ultimate foreign sinister not to mention Jessie Royce Landis and Hitchcock brings Bernard Herrmann to wrap it all up in one of the most infectious scores imaginable. A real treat."
TheLittleSongbird,"Jun 9, 2009",9/10,"My favourite director, Alfred Hitchcock has directed many classics like Psycho, Rear Window and Vertigo, and I will say that this deserves to be up there among his best. I absolutely loved it! The best aspect of this movie is the always charming Cary Grant in a brooding and entertaining performance as Roger Thornhill, a man wanted for the murder of a diplomat. Solidly supporting him all the way are the lovely Eva Marie Saint as Eve Kendell and oily James Mason as the villainous Vandamme. They are further advantaged by some excellent camera-work and a wonderfully atmospheric music score. The script is focused and suspenseful, and Hitchcock's direction ensures the film rarely slips, even if some of the complicated plot does fly over people's heads. The climax though is simply the icing on the cake. Overall, a hugely enjoyable film, which I will give a 9.5/10. Bethany Cox"
Ben_Cheshire,"Jul 24, 2004",8/10,"Its Hitch's most briskly entertaining movie, and one of his most comic, adventure-caper type movies, largely thanks to the persona of Cary Grant. But its also one of his most suspenseful - in the fact that Grant is being recognised as someone else, and that he may be put in jail for someone else's crime.I've finally come to realise just how great North by Northwest is. The reason you should love Hitchcock is he put entertainment upfront.  Hitchcock was not interested in whether this or that would happen in real life: he was interested in what would make the most entertaining scene for the movie. North by Northwest is a peak in this regard. The dialogue and situations intentionally throw reality to the wind - the double-entendre dialogue in the love scenes is not supposed to be the way people talk!If you said to Hitchcock ""as if he'd keep driving"" or ""as if she'd do that"" - he would just laugh at you and say you've missed the point. This is 100% movieland, and once you get used to the fact, and that this is not a fault in the film, but done intentionally, you'll love it. Its expressionistic - everything happens in movie language: the people laughing at Grant in the elevator, the way he keeps driving drunk near the beginning, the way he grabs the knife and everyone stares at him after someone's been stabbed.It flirts with the idea of identity. I thought it was interesting how Grant first is dismissing, then incredulous that people should be calling him by another name; then, as the tries to find out who this guy is, he enters the hotel room of this new identity, then he puts the suit on, and finally he identifies himself as George Kaplan.A succession of fantastic, memorable scenes, a great leading man in Grant, and one of Hermann's essential Hitch scores make for a movie i can put on at any time.10/10"
barnabyrudge,"Jan 15, 2003",N/A,"North by Northwest will need no introduction to most movie-goers. It's a classic, greatly admired by audiences and critics alike. The story about a befuddled ad-executive fleeing from spies and the police (the spies want him dead because he knows of their plot, the police want him captured because they think he's behind a murder) is done at a breakneck pace and deals with Hitchcock's most frequently used theme: an innocent man on the run.Cary Grant is urbane and smooth as the hero. James Mason oozes silky menace as the principal villain (Martin Landau also plays a villain, giving his character a seriously nasty toughness). Eva Marie Saint is simply fabulous as the woman whose loyalties seems torn between good and bad.The set pieces are rightly considered to be moments of cinematic genius. Grant's escape from a crop-duster; the fight atop Mount Rushmore; the auction house bluff; the drunken car journey; the murder at the UN building.... each scene is brilliantly devised by script writer Ernest Lehmann and just as brilliantly filmed by director Hitchcock. Everyone should see this movie... it's a masterpiece."
ags123,"Apr 23, 2008",10/10,"This is Hitchcock's best film  quite an accomplishment, considering how many great films he created. And after half a century, ""North By Northwest"" holds up beautifully. This film has it all: suspense, glamour, humor, and images that capture the imagination and remain etched in memory. The legendary crop-dusting sequence alone is a master class in the art of pure cinema. Like the rest of the film, it's brilliantly conceived and brilliantly executed. All the elements come together to produce the finest form of entertainment. Bernard Herrmann's frantic fandango captures the complexity and pace of the action. Ernest Lehman's script is full of sophisticated dialogue. Performances are spot on. Has Cary Grant ever been more engaging? Is James Mason the ultimate in charming villains? And Eva Marie Saint's allure is multi-faceted. Movies just don't get better than this."
jotix100,"Oct 30, 2005",10/10,"Alfred Hitchcock's ""North by Northwest"" is one of the best films in his long and distinguished career. Part of the success of the movie lies in the screen play by Ernest Lehman, one of the best writers of that era. Also, the haunting music by Mr. Hitchcock's usual collaborator, Bernard Hermann, adds texture to what we are seeing. Together with all the above mentioned qualities, ""North by Northwest"" was photographed by Robert Burks and was edited by George Tomasini, both men did outstanding jobs to enhance a film that shows a mature and inspired Alfred Hitchcock.The film works because of the witty dialog Mr. Lehman wrote. This has to be one of the riskiest projects undertaken by Mr. Hitchcock because of the sexiness Eva Kendall exudes throughout the film and the repartee between her and Roger Thornhill. The film mixes adventure and romance that aren't put ons, as one feels what one's watching to be really happening.Much has been said in this forum as to the values of this classic, so we shall only add our pleasure in seeing this masterpiece any time it turns on cable. In fact, the film hasn't dated, the way some others of the same period have. The highlights of the film are the sequences involving the crop duster, the train ride to Chicago where Eve and Roger first meet, the auction, and the Mount Rushmore climax.This is one of the best contributions by Cary Grant to any of his work with the director. Roger Thornhill is one of the best roles Mr. Grant played, during his long career. His chemistry with Eva Marie Saint is perfect. This young actress added class and elegance to the picture. James Mason and Martin Landau played villains convincingly. Jesse Royce Landis, Leo G. Carroll, and the rest of the supporting cast is excellent.""North by Northwest"" is one of Alfred Hitchcock's best crafted films thanks to the brilliant people that came together to work in it."
movieman9,"Dec 25, 2000",10/10,"For Christmas this year, I received my first to-own DVD: Hitchcock's classic, NORTH BY NORTHWEST. After over 40 years, this rip-racing adventure-thriller still packs a punch and looks great on widescreen. This movie came along during a renaissance period for the Old Master, between masterpieces like VERTIGO and PSYCHO, but this excursion into the world of suspense is so different from anything else Hitchcock had created up to that point. Never did he challenge our endurance to keep still in our seats for such a long period of time, and yet the film's 135 minutes go by so fast it could only be explained by movie magic itself.Cary Grant is one of those actors that a filmgoer either falls in love with or deeply envies. His debonair manner is displayed to the full in this film, even though the peril that his character goes through would cause any normal dude to break into a maddening sweat.  The dialogue Roger Thornhill delivers alongside Eve Kendall (Eva Marie Saint) in this film is sometimes too hilarious to be true, but wouldn't any woman fall for it? (I'm merely guessing here)  Ernest Lehman's screenplay is so lighthearted and yet very ominous. With all the traps and pitfalls Grant goes through in this film, you would have to find comedy in it. Grant does and to great appeal. I absolutely love the sequence at the auction when Roger tries to get himself arrested by yelling out flaky bids and accusing the auctioneer of selling junk worth no more than $8.  I also admire the scenes with Saint on the train to Chicago; I was tempted to jot down some of his pick-up lines, but then I realized it's just a movie (or is it?)Hitchcock was famous throughout his career of setting up death-defying sequences with major landmarks as backdrops. Here, Mount Rushmore will never be looked at the same again afterwards. We may never enter the United Nations again without peering behind our backs for a notorious knife-thrower. And, I dare say, I will never walk alongside a highway where a cropduster could swoop at any minute. I love the line during the Rushmore incident when Grant says his two ex-wives left him because he lived too dull a life. Go figure!It has been said that Hitchcock's many films each contain a personal side of the director inside them. The archetypes of the Master of Suspense are here amid the chasing and running across the U.S. The mysterious blonde, played to a tee by Eva Marie Saint, is a common fixture of many Hitchcock jaunts. Saint joins Grace Kelly and Tippi Hedren in this feature. The protagonist is again awkward when faced with  the opposite sex, but unusually casual when wrapped up in danger. The hero has an attachment to his mother, continually under his nurturing wing. And of course, the macguffin has fun with us again (government secrets my foot!)Whenever I see action-packed epics today like ""The Fugitive"" or the James Bond series, they all seem to quiver in comparison to this film. It amazes me that Hitchcock is able to hold the audience in the palm of his hand throughout the whole length of the journey. We become Grant as he runs away from the police and the secret agents who have chosen him as their dupe. But throughout the squabble, we sense that Grant is getting off on the whole jaunt, just as we want the chase to continue, not looking at our watches for a minute. However, it's fascinating to note that Roger Thornhill is not a born adventurer, nor is he an archeologist with a flair for escaping impossible situations. We are experiencing the Cary Grant in all of us, running away from an enemy we do not know they are or what they want. Is this symbolism of some kind? I say who cares; just watch the film and have fun!"
Sleepin_Dragon,"Dec 24, 2022",9/10,"A case of mistaken identity for Roger Thornhill, sees him picked up by a dangerous, powerful villain, and later falsely accused of murder.Some films and shows age badly, for all sorts of reasons, plot, acting, production values, not far of seventy years old, Hitchcock's masterpiece North by Northwest holds up as a true classic.It will looks remarkably stylish, features a superb central acting performance, and boasts a plot most writers only dream of creating. Full of twists and turns, Hitchcock spins a terrific web.It's not serious the whole way through, indeed there are a few lighter moments, I particularly loved the scene in the auction room, the look on the auctioneer's face throughout, brilliant.Cary Grant is simply oozing with charisma, loaded with style, he offers real Hollywood Star quality, James Mason and Eva Marie Saint are equally brilliant.A tremendous watch, 9/10."
bsmith5552,"Oct 20, 2001",9/10,"""North By Northwest"" is another of Alfred Hitchcock's thrillers where an ordinary man is put into an extraordinary situation. As in most of these movies, the hero has to quickly adapt to his situation or perish.This time it is Cary Grant who is thrust into a world of international intrigue when is mistaken by villain James Mason for an American operative named George Kaplan (the film's ""McGuffan"" by the way). Along the way he is seduced by Mason's mistress (Eva Marie Saint) while being pursued by Mason and his cronies from New York to Chicago to South Dakota and ultimately to Mount Rushmore for the film's climax.""North By Northwest"" is full of classic Hitchcock moments. First,there is Grant's frustration and fear as he tries to explain to Mason that he is not the person they are seeking. Next, the scene in the cornfield where Grant is isolated and attacked by a plane is pure Hitchcock. Then we have the art auction where he cleverly escapes Mason's henchmen and finally, the finale at Mount Rushmore in a scene reminiscent of a similar one in ""Sabotage"" (1942) (which took place at the top of the Statue of Liberty).The cast, as in most Hitchcock films is excellent. Grant is understandably confused and frightened as the the hero, Eva Marie Saint has never been sexier as the femme fatale, James Mason is suave and sinister as the villain and Martin Landau in an early role, is good as Mason's chief henchman. Hitchcock regular Leo G. Carroll is cold heartedly sinister as the ""professor"". Jesse Royce Landis as Grant's mother (she was about Grant's real age) is wasted and unnecessary to the plot.The only problem that I have with this and other Hitchcock films is his over reliance on back projection and soundstage ""exteriors"". Other than that. ""North By Northwest"" has to be considered as one of Hitchcock's best. Watch for Hitchcock's hilarious cameo appearance at the end of the opening credits."
ccthemovieman-1,"Apr 9, 2006",6/10,"When I started collecting videos in earnest (by the thousands), I was excited to get this film. I had such fond remembrances of seeing it on the big screen when I was young teen. I remember being terrified when Cary Grant was being chased by the crop duster and then awed at the end with the climactic scene on Mount Rushmore. I saw it maybe a decade or so later on television and enjoyed it again.Well, seeing the film again five years ago on DVD as a 50-something-year-old turned out to be a major disappointment, mainly because the first hour was so boring. The beginning had scenes that looked too dated and worse, were drawn out too long, such as Grant's drunk scene and the romance between he and Eva Marie Saint.Once Grant goes on the run, the story improves noticeably and mixing in some comedy with the drama was a good move. From that point, it's still the fun film I had remembered but, overall, didn't have the suspense anymore and, to this day, I believe is an overrated Alfred Hitchcock film. The more I see of Hitch's old films, the more disappointed I am, with the exception of Psycho and Rear Window."
