user,date,rating,content
AlsExGal,"May 24, 2023",8/10,"... in which Chaplin tried to modernize The Gold Rush by taking out the title cards, adding narration which he himself did, changing the music, and deleting some scenes. It isn't bad since Chaplin himself redid it, but I just prefer the original.It isn't as funny as The Kid, not as heartbreaking as City Lights, and it doesn't have the social commentary of Modern Times. Instead it has a little bit of everything plus lots of atmosphere AND it takes Chaplin's Little Tramp out of some anonymous urban environment and lands him in a very specific place and time - the Klondike gold rush of the late 1890s. I could feel the biting cold, the hunger, the loneliness. And in spite of this being set in the 1890s and seeming quite authentic to its setting, this film has a very modern feel to it, almost timeless.Chaplin's ""little fellow"" is introduced as a lone prospector. We never see him doing any prospecting, but it is later mentioned that he is not very successful at it and gives it up. The first part of the film has the little fellow waiting out a blizzard in a cabin with a wanted criminal in addition to a fellow prospector. The second part has Chaplin's character traveling to a Klondike boom town, watching a cabin for a more successful prospector, and falling in love with a dance hall girl who thinks his crush is just a big joke, at least at first.I don't think it was Chaplin's best silent film, but it does manage to do all aspects of the production very well and I can see why some people would judge it as his best. And if that was Chaplin in that chicken suit, all I can say is that he had the motions of a chicken down pat. To know what I'm talking about, watch and find out."
lukelandry1,"Apr 16, 2014",7/10,"I'm just an 18 year old dude in high school that was assigned this movie in a class at my school. When I first saw the genres of this movie I was not looking forward to it at all. It was the first silent movie I was seeing and also the oldest. It had originally seemed like everything I didn't look for in a ""good"" movie. At the conclusion of this movie I knew that my original thought process was entirely wrong. This movie has certainly changed my view on both silent and older films, especially on a comedic standpoint. There was so much about it that was appealing to the viewer. I recommend this movie to all looking to expand their film genres of interest."
didi-5,"Mar 30, 2005",8/10,"Charlie Chaplin's silent film (also re-released with a narration in the early 1940s) focuses, as usual, on the Little Tramp, and in this case, his attraction to a chorus girl (Georgia Hale). This is the one where he eats a boot, along with its laces, and manages to make it appear a sumptuous meal; as well as creating a dance with bread rolls.The role of the girl was originally intended for the second Mrs Chaplin, Lita Grey, but her pregnancy ruled her out. Georgia Hale is excellent in her disdain of the unwanted Tramp attentions. Mack Swain appears as Big Jim, who shares a cabin with the Tramp, at one point getting so hungry he imagines his pal as a chicken ready to eat! This film has the spirit of the pioneers and gold-runners, as well as the inimitable spirit of the little hero. As a silent it is one of the best comedies of the time, as a sound film, it is fairly good."
planktonrules,"Apr 28, 2006",10/10,"I've seen both version of this film--the original silent version from 1925 and the re-release by Chaplin in the 1940s. The difference is that the re-release was designed to appeal to a new audience that expected sound from their movies. To do this, title cards were removed--having Chaplin narrate the film. In addition, Chaplin-created music (for the most part--some were classical pieces), sound effects and singing were added to make the movie more palatable to the average viewer. I personally like BOTH versions and the one you watch is up to you if you get a copy of the Warner Brothers release on DVD--it has both plus excellent DVD extras. Otherwise, there have been a lot of public domain versions on video out there--many with terrible quality prints or music or both. The Warner version is the most pristine and beautiful silent print you can find. The version usually shown on Turner Classic movies is the 1942 re-release.I use this film for my American history class when we do our unit on the history of film, though I might, in the future, use it for my Psychology classes as well (I teach both) because Chaplin's genius came from his obsessive-compulsive nature. The movie reportedly had 27 times more film exposed than you actually see in the film and the shoe eating segment was shot after more than 60 takes!!The plot involves Charlie going to Alaska for the Gold Rush at the turn of the century. Along the way, he has a series of misadventures that have been thoroughly discussed in the other reviews here on IMDb. Suffice to say, the supporting acting was excellent and the story kept an excellent pace and had enough slapstick to make it fun to watch (something not true of all full-length slapstick comedies--sometimes, their pacing was negatively affected by the transition from shorts to full-length).This is a gorgeous, well-executed piece of American art and a must for any real cinemaniac. The musical score (arranged by Chaplin), direction, acting and cinematography all are simply perfect--making this, in my opinion, the best full-length silent comedy ever made. This is saying a lot considering how much I love Harold Lloyd and Buster Keaton's films!"
Anonymous_Maxine,"May 15, 2001",10/10,"The Gold Rush is one of Chaplin's best films, as well as one of his most famous. It has been said that it is the film that he most wanted to be remembered by, and it's not hard to see why. Chaplin plays the part of the lone prospector, a young miner during the gold rush. After getting caught in a storm, he hurries to the only shelter that he can find, a wood cabin in the middle of the storm. It turns out that it is already inhabited, and by a tough criminal named Black Larson, no less, and the scene in which Charlie and Big Jim, another prospector, insist to Black Larson that they are going to stay is one of the countless memorable scenes in the film.Charlie and Big Jim are left alone and without food when Larson goes off to face the storm looking for food (having drawn the lowest card in another amusing scene), and the scenes in the cabin are some of the best in the entire film. There is, of course, the boot eating scene, memorable not only because of its cleverness and effectiveness, but also because while making the film, Chaplin ate so much boot (which was made out of licorice) before he was satisfied with the take that he had to be taken to the hospital to have his stomach pumped. Another thing that was really well done was the special effects. I am still amazed every time I watch the film at how realistic it looks when there is a long shot from outside showing Charlie hanging from the door of the cabin, which is balanced precariously on the edge of a cliff. Also notice the fast paced and very effective music during this scene, the same song that is played in the best scene of the 1996 film Shine, with Geoffrey Rush.There is also a very noteworthy love element of The Gold Rush, a part of the story that Chaplin generally has much success with in his films. Charlie's amorous interests in Georgia, a dance hall girl, leads to the scene where he performs the famous dance of the dinner rolls, probably the most famous scene in the film, which was also performed very well by Johnny Depp in Benny & Joon. Charlie's relationship with Georgia is also the thing that leads to his presentation of his sympathy for the lower classes, when he meets her on the ship after having become a multi-millionaire. Chaplin's full length films are inherently more famous than his earlier short comedies, and The Gold Rush is one of the best of his full length features. A must see for any Chaplin fan, but The Gold Rush is also a film that anyone who is interested in quality comedy should watch."
Snow Leopard,"Aug 6, 2001",N/A,"This silent classic has many strong points - it has a lot of humor, interesting characters, a good story and good settings.  It's the kind of film that shows how much a master film-maker can communicate in a silent movie.  It overdoes the sentimentality on occasion, but other than that it's a fine film.Chaplin himself plays the 'Lone Prospector', and he is joined by several other interesting characters in a frozen north setting that sets up some good adventures and drama.  There are some memorable scenes in the prospectors' rickety cabins, plus some other good material.The version of this that is the easiest to find is the one that Chaplin re-edited in the 1940's, adding his own narration and deleting the title cards, which gives it a slightly different feel.  (These revisions probably make it a bit easier to follow for those who aren't used to silent films.) You can tell from Chaplin's narration how fond he must have been of ""The Gold Rush"", and he had a lot of good reasons to be pleased with it.  There are a couple of his later films that might be even better and more timeless, but this one contains everything that defined Chaplin and his art."
lee_eisenberg,"May 13, 2005",10/10,"The 1898 Gold Rush to Alaska may have been harsh, but Charlie Chaplin makes it hilarious. As an unnamed prospector, Chaplin goes through a series of gaffes while seeking gold in the Yukon. Most famous of course are the shoe for dinner, the dancing roles, and the cabin teetering on the edge of a cliff. His companion, Big Jim McKay (Mack Swain) at one point is so hungry that he believes Chaplin's character to be a chicken, and before long, a bear enters their cabin. In the midst of it all, the prospector falls in love with dancer Georgia (Georgia Hale).A real triumph for Charlie Chaplin! They must have had a lot of fun filming it!"
PhilipJames1980,"Jun 7, 2004",10/10,"The Gold Rush is pure gold.  It was Charlie Chaplin's third feature-length film, and marked his comeback of sorts following A Woman of Paris (1923), which he had directed to great critical acclaim but which had been unsuccessful at the box office because it lacked his signature character The Little Tramp.This movie should be counted among Chaplin's best and most enduring works; many people name City Lights (which I've also seen) as THE best Chaplin movie, but The Gold Rush is still an excellent showcase for one of movie comedy's immortal geniuses.Having first seen this movie years ago on TV, I saw it again in October 2003 as part of my college's silent-film class, on a poor-quality videotape that often prevented the other students and I from laughing at it because we could barely discern what was happening on the screen.Even so, I was sufficiently intrigued to buy the GR Chaplin Collection DVD, which has a restored silent version of the film that is so good I haven't even bothered to watch the 1942 sound version that's also on the disc.The viewing quality of this restored silent version is excellent, although certain minor details are still hard to see, such as the faces of the cards drawn by the Tramp, Jim McKay and Black Larsen as they try to determine who should go out into the blizzard.  On the other hand, in the shot of the cabin teetering on the edge of the cliff, the viewing clarity makes clearly visible the wire used to pull the model cabin farther over the edge!Also, the film seems to skip in the scene when the Tramp dances with Georgia, perhaps due to a transfer problem with the DVD.  But these are minor complaints, and certainly the restoration allows for full appreciation of the film.The first half-hour of The Gold Rush is in itself worth the purchase price, as it contains some of the funniest scenes I've ever seen in any movie. Even the throwaway bits, such as the Tramp trying to use a crude hand-drawn compass, are more genuinely funny than the extreme gross-out gags offered by most contemporary comedies.And the shoe-eating scene is so famously funny that even people watching it for the first time may feel that they've seen it already: this is in no way a bad thing, but merely reflects the fact that the best silent films long ago entered into the collective memory of our culture.I don't say this to sound pretentious.  I believe that because Chaplin had such influence on the development of movie comedy, that to a certain extent people today may take him for granted.  It's hard to approach his work with fresh eyes only because so many people have watched his movies for so many years.For example, before the success of The Kid (1921), Chaplin's first feature film, the movie industry doubted that audiences would accept a film that blended comedy and drama.  In The Gold Rush, Chaplin further explored cinema's potential to be comedy and drama simultaneously.  Only he could have distilled humor from scenes of starvation and struggles to survive the ravings of a madman.The joy of watching this film today stems from seeing how well Chaplin, as both star and director, finds and maintains the right tone and style for his work, negotiating the fine line between comedy and tragedy.  This is most evident in the scene when McKay and Larsen struggle for the shotgun in the cabin and the Tramp tries desperately to escape the muzzle's aim: the sequence is undeniably hilarious, yet even today the Tramp's grim predicament is just as likely to horrify the viewer.One pleasure of silent comedies such as The Gold Rush is that the lack of a soundtrack leaves more to the imagination, in the same manner that old-time radio comedy got laughs from funny sound effects that showed the audience nothing.When Black Larsen sees the Tramp in the cabin, for example, he enters and slams the door, causing the Tramp to spin around in alarm.  This is the kind of joke that could only work in a silent movie, because no door-slamming sound effect could be quite as funny as the piano score imitating the noise, as rendered by Neil Brand on the DVD.The second act, in which the Tramp gives up prospecting, returns to town and becomes infatuated with Georgia, was probably inevitable, as Chaplin realized he couldn't sustain the entire film at the cabin.  Still, he must have drawn much of his inspiration from that one location, because he returns his characters to the cabin in the film's third act.I don't want to spoil the climax for anyone who hasn't seen it, but I believe that even today it remains one of the most vivid depictions in cinema history of man versus the elements, and Chaplin milked all its potential for comedy and suspense.Mack Swain is hilarious as Jim McKay, creating a memorable comic image with his ridiculously small boots and high-domed fur coat.  Chaplin generously gave him some opportunities to be funny on his own in this film, just as he was content to let Jackie Coogan share the spotlight in The Kid.  From what I've seen of City Lights and Modern Times, he was not so generous in his later films, seeming to think that he himself was the whole show.The Gold Rush may not be a perfect 10 compared to today's more sophisticated stories and special effects.  The ending is cheerfully cynical, improbably reuniting two characters and never revealing Georgia's true feelings for the Tramp.But the bottom line is that The Gold Rush is still funny after almost eighty years, and that's a feat few comedies in any year can ever accomplish. Chaplin, in his ability to extract maximum humor and poignancy from his material, has no equivalent today.  What a shame.Rating: 10 (One of the best movies of 1925.)"
ACitizenCalledKane,"Jan 4, 2005",10/10,"To see Charlie Chaplin's The Gold Rush is to know enjoyment. One cannot help but enjoy a film as well-done as this! Chaplin said that this was the film for which he wanted to be remembered, and I can see why. It is a masterful blend of comedy, drama, and romance, among other genres seamlessly brought together in one extraordinary picture. Like all great movies, The Gold Rush has more than its share of memorable moments, from the Thanksgiving dinner to the dance of the dinner rolls to the cabin teetering on the edge of the mountain. All of these scenes are brilliant because of The Tramp's flawless physical comedy. He was a master of comedic timing, and he was one of the most graceful physical comedians I've ever seen. Don't get me wrong, this picture is not just three fantastic scenes amongst filler. The film moves along at a brisk pace, following the misadventures of our hero, The Lone Prospector (Charlie Chaplin, of course), as he attempts to hit it big by discovering gold in Alaska. Along his journey through the elements, the prospector meets the notorious Black Larsen (Tom Murray), a wanted criminal willing to do anything to get his hands on some gold. Fortunately, our friend also comes across a fellow prospector, Big Jim McKay (Mack Swain), who has finally defied all odds and struck it rich. But the Lone Prospector's adventures take place not only out in the middle of nowhere. When he is forced back to civilization, he falls in love with Georgia (Georgia Hale), the most beautiful girl in town. Of course, it would be all too easy if no one else was interested in this beauty. Jack Cameron (Malcolm Waite), the handsome lady's man who is not content with every other woman in town by his side; he must have Georgia, as well. Competition arises between the disappointed prospector and the ego-maniacal ""lady killer."" All of this would be too much for any one of us, but the Lone Prospector handles it all with his uncompromising resilience in the face of insurmountable odds to bring us one of the greatest comedies of all time! I will not lie, I am a fan of Charlie Chaplin's movies, but as objective as I can possibly be, this IS one of the great movies...Essential viewing!"
Xstal,"Sep 10, 2020",9/10,"Then came the dawn, and with it one of the standout scenes in any silent movie as the cabin teeters on the brink. There are so many elements in this film, elements that would be reused and recombined in various presentations over the years and on so many occasions - the gold standard.Endearing and adorable Charlie Chaplin - a genuinely pioneering prospector."
