user,date,rating,content
Xstal,"Dec 20, 2021",9/10,"Emotional extremes abound, this story takes you round and around, elevating high, then smashing you down, your guiding light, an endearing clown.The essence of all that's right, that's wrong, a fathers love for his wife and son, to the thieves of liberty with power - and a gun; the worst of man, the world undone."
kvonarx,"Dec 6, 1999",10/10,"I am surprised about the negative comments that some people made on this web-page.  I can see how some people might not experience the same kind of uplift or joy that most of us lived through when seeing the movie.  But that some viewers felt insulted and betrayed because the movie did not depict ""reality"" as it really was or is, is not fair.I must concur with my fellow proponents of the movie -- it was a great and very satisfying movie.  It provided me with something that everyone in one or another shape or form needs -- Hope.  The movie showed the cruelty of life and yet managed to shed some light and insight into the beauty of love and life in general.I urge anyone who has not seen La Vita è bella to go out there and watch it. If we all take with us just little bit of that hope and love that this movie is trying to convey; this world would be a much better place.Thank you for reading this and I hope you enjoyed or will enjoy the movie as much as I did."
amira_berzi,"Aug 29, 2000",9/10,"This is one of those movies that have a lasting effect on you.   After watching it, I found that it has less to do with the Holocaust and more to do with the human feelings and the beautiful relationship of a father and his son.  The holocaust provides the ultimate context, that brings and highlights the story and adds yet another deep dimension to the movie.  No such piece of art has ever before combined laughter and tears of sadness in me before and that is the miracle of the movie.  The realism of the movie is not its strong point, but then again it is  not supposed to be; this helps in bringing the audiences to a state of mind away from reality, focusing on the feelings generated by forgetting about all external events and developments of the war.  Despite that, the movie does not fail to point out an element of the nazi psychology demonstrated by the doctor who was obsessed with riddles.  This portrayed the nazi 'state of mind' (if ever such an expression existed) as a sick mentally disturbed state.  Life is really beautiful as you watch Guido's relentless efforts to make a lovely exciting experience of the concentration camp to his son.  You get exhausted just watching him going through his painful day and yet you smile as he speaks to his son and makes him laugh.  One can go on forever  describing the creativity of this movie, but one will not be able to capture all its beauty in writing."
Anonymous_Maxine,"Mar 27, 2000",10/10,"I find it sad that so many people are so narrow-minded that they will not watch a movie that is black and white or, in this case, is subtitled. I feel sorry for people who refuse to watch a movie like Life Is Beautiful just because it is a foreign film. They have no idea what a beautifully acted and directed film this is, and they'll never know what an amazing experience they are missing.Life Is Beautiful manages to walk the extremely thin line between humor, fantasy, and tragedy. Sure, the film is clearly comedic, but nevertheless it manages to very effectively communicate the tremendous losses suffered in the Nazi concentration camps and has scenes at least as intense as any scene in Schindler's List.This is one of the best films that I have ever seen. It manages to be so encompassing that you hardly notice the subtitles are even there. I proudly cast my vote of 10."
Conservative-SNAG,"Oct 23, 2004",N/A,"I can't understand how other reviewers see this as a film about the Nazis or the Holocaust. It's not!!! ""Life is Beautiful"" is a film about love, optimism, courage and inner strength.To be honest I can't get this film out of my thoughts and decided to write this brief review in the hope that I could move on.""Life is Beautiful"" is an unforgettable film. You go through emotions you were surprised could have for a fictional film. The story, although totally implausible, is uplifting and depressing at the same time.Please see it for yourself. Have a box of tissues handy.Best film ever seen!!!"
farkas419,"Jan 30, 2006",10/10,"The first time I saw the movie was when I was about seventeen or so, and I never forgot it. The incredibly human characters (such as the doctor who loved riddles), the fantastic script-writing, the amazing acting, and of course the heartwarming story. This movie proves once and for all how strong we are, as humans, that in the face of adversity we can make the best of things. There is so much love in the characters; Dora's love for her husband Guido is boundless, as well as Guido's love for his son. Sure, it's a slightly unrealistic movie, but hey, aren't they all a little unrealistic? I've also seen people review this movie and say that it made light of the Holocaust, which was of course a dark point in history. I don't think so; I think that it's only delicately handled, and because of that, the movie is one that a person can watch in one sitting without being thoroughly disgusted by mankind. I would say that those who think this movie is too ""light"" are cynical and bitter. The whole point to the movie is to show what love is capable of, and to provide encouragement and perhaps guidance. This movie changed my life from the first time I watched it. I came away with this feeling that no matter what I have to face in life, that I can overcome it. This is a movie that I would recommend to anyone over the age of eleven. The acting is superb (though Roberto Benigni is a little over-the-top, LOL), the story heartwarming and easy to understand. It's excellent!"
Serpico-7,"Feb 26, 1999",9/10,"Roberto Benigni's Vita e bella, is in many ways similar to Chaplin's Great Dictator.  Both are comic attacks on fascism, but the former's is the more successful.  Benigni initially accesses the emotions of his audience through simple comedy, which is a pleasant mix of Keaton and Chaplin.  Romance ensues with his real life wife Nicoletta Braschi.  The first half of this film has been seen by various critics as being inferior to the second, but this is certainly not the case.  In the first section we follow the delightful romance that will eventually lead to marriage and the creation of the wonderful Giosue (Giorgio Cantarini).It is the first half where the audience can laugh the loudest and delight at the immense comedy talent of Benigni.  Unlike so many films nowadays there is nothing crude or course, his is simple innocent humour, which is all the more effective.  The way he ties together little strand in the film to create comedy elements shows a great writing ability, and a mastery of timing when it comes to their execution on screen.  Various incidents related to the rise of anti-semitism and fascism in Italy show that there are sinister forces at work which come to the fore in the second segment.Guido (Benigni) moves events on from Tuscany in 1939 to the last year of the war in a concentration camp.  In this period he and Dora (Braschi) have had their son Giosue (Cantanarini).  The five year old greatly reminds me of Toto in Cinema Paradiso, and plays an equally important role in his prospective film (though in Paradiso's case it is at the beginning of the movie).  The relationship between the two is very similar to that of Jackie Coogan and Charlie Chaplin (though Benigni, unlike Chaplin, keeps the best of the comedy moments).  Guido attempts to keep from the boy the horrors of what is going on, and this eventually manifests itself as a game where the aim is to score 100 points, with the winner winning a real tank (which, of course appeals to the young boy).  Comic moments are still present, that involving Guido's translation of the rules of the camp is particularly notable, but it becomes somewhat more difficult to laugh when we consider the gravity of what is going on.The emphasis begins shifts, and we realise that this is a film about human spirit above all else.  Guido not only appeals to the audience due to his comedy and sheer pleasantness, but also in the way that he loves his family and the measures that he will go to to protect them.This is certainly no Schindler's List, but it never pretends to be. Occasionally events seem a little contrived, but this does seem to work in the film's favour.  However, this film avoids the tendency of Hollywood to go far over the top in emotional and credibility terms.Benigni shines like a lantern throughout the picture, showing that he is a talent, not only in comedy terms, that far outshines his peers.  Cantanari is a delight, and Braschi also plays her part well.  There is even an appearance by The Magnificent Seven's Horst Buchholz as Doctor Lessing, a man who events change for the worse.Please don't let the fact that it, to all but the Italians, is a foreign language film.  The language itself adds a beauty of form to the film, much as it did in the case of Il Postino.  This has to be a certainty for the Best Foreign Language Film Oscar, though something tells me that it will be overlooked for other awards as it is Italian and not a mainstream English language picture.Please see this film, and make up your own mind.  It is appealing in so many different ways that I'm sure that you will not be disappointed."
gaur-abhi,"Nov 12, 2005",9/10,"I have never in my life seen a movie that so truly symbolizes its name and its message. Roberto Benigni - 'The Italian Treasure House' has probably given to his viewers his best. The story, the performances, the entire theme of a person performing his duties as a husband, as a father is very 'moving' and inspiring. 'Life is beautiful' as the name goes is about a Jewish man, who falls in love with a non-Jewish lady, marries her, has a kid and who is then taken as a prisoner in a concentration camp along with his wife and kid. But the way he protects his kid from the horrors of the genocide, how he always tries to find ways to make his wife and kid smile and laugh, is what makes the movie, a MUST SEE.It is certainly one of the best movies that I have seen."
gbheron,"Nov 12, 2000",9/10,"Life Is Beautiful takes the premise that love and hope can survive the most trying of conditions, in this case a Nazi concentration camp. Most everyone knows this very popular and honored film, so I won't belabor the story. Briefly, in my humble opinion, this film deserves all the accolades it's been awarded. A near perfect film, my only gripe is that Mr. Benigni's performance could have been more understated, especially the half of the film that's set in the concentration camp. But this is only a slight complaint. For a joyful, life-affirming movie, Life Is Beautiful is tops. But be forewarned, as its principal backdrop of anti-Semitism and Nazi murder, it is not a very happy movie."
Monika-5,"Jan 3, 2000",N/A,"This may be one of the best films ever made. I've never seen a movie with such a balance of hysterical comedy and serious drama. Roberto Benigni totally deserved his Oscars. People on this site have said such negative things about him and this film. Mr. Benigni had a lot of guts to make this film, and there's not another film like it. He handled both the comedy and drama aspects beautifully. I loved the beautiful cinematography, scenery, and the characters. This movie is magnificent in every way. Don't miss it!"
