user,date,rating,content
evanston_dad,"May 22, 2023",8/10,"Oh, how to feel about this movie?I was mostly riveted by it, let's get that out of the way. It's gorgeous to look at with those Sergio Leone compositions, and gorgeous to listen to with that Ennio Morricone score. Like so many of Leone's films, it has a plaintive, nostalgic glow to it that makes you ache emotionally without even knowing exactly what you're aching for.And there's where I get conflicted with this movie. The character created by Robert De Niro is a repulsive human being. He murders, he rapes. The film cannot be forgiven for the way it handles rape. In one instance, the woman treats it like it was a naughty prank and comes back to fondle the rapist and his buddies in a scene played for laughs. In the other instance, the film at least has the decency to make it seem like something traumatic to the woman, but that woman is Elizabeth McGovern, who reappears later in the film and acts like she's full of regret over the relationship she and De Niro were denied, despite the fact that that relationship consisted almost entirely of him just stalking her and then taking her against her will in the back of a car when she tells him she's leaving for California to become an actress. We follow Robert De Niro both as a young man and as an older man looking back ruefully on his life, but we don't sense that he regrets any of the things he actually did. He just regrets what he lost. It's like he's sad that his days of murdering and raping without consequence are over, and that elegiac Sergio Leone tone left me wondering, what exactly are we supposed to be feeling nostalgic about?So I guess I understand both people who think this movie is something great and those who think it's reprehensible. I guess it's proof that things can be many things at once.Grade: A."
zeki-4,"Jan 21, 2020",9/10,"Make sure you watch the 220 minute version which is perfect. The butchered 139 minute version should never have been released and the added faded clips in the much longer 269 minute version aren't worth it.It's not an easy watch. The story builds patiently and jumps back and forth in time, spanning three generations. It's not the usual gangster flick, but a tale of forgiveness, betrayal, greed and nostalgia. The sets, the fantastic score by Morricone, De Niro at the pinnacle of his career.A beautiful epic swan song by the master Sergio Leone this is."
AlsExGal,"Jan 21, 2025",8/10,"Because there is an even longer director's cut and a short 130 minute version which was the version initially released in America, and is incomprehensible.The film traces the lives of four Jewish gangsters from a New York City ghetto through 60 years of 20th century history in an odd way. It focuses on three time periods - 1920 when the gang is in their teens, 1932-1933 as prohibition ends, and 1968 when Noodles (Robert DeNiro) returns to New York as an old man after he gets a letter saying his true identity has been uncovered. Noodles has been living with regret this past 35 years, because he feels responsible for his gang having been killed by the police back in 1933. He wonders if someone is planning to settle an old score with him.The Godfather this is not. There are no family ties binding any of these characters together, and they are extremely unlikeable and only vaguely characterized. Only Noodles is humanized even a little bit, and then he ruins that by turning out to be a rapist as well as covering the requisite thief/murderer territory that comes with being a gangster.What does it do right? The cinematography by Tonino Delli Colli captures the gritty vibrancy of New York's Lower East Side, the glitz of the Prohibition era, and the melancholic decay of the 1960s. There is great attention to period detail, from costumes to production design, immersing the viewer in each era. Then there is that memorable score. As for the acting, De Niro shows the versatility that he always does, and James Woods as Noodles' best friend and gangster ally Max plays the part as ambitious and cunning. Plus Woods always injects just a little bit of crazy int his performances.What did it do wrong? Leone's last film has the same problem with editing that Scorsese has had with his later films. It's just too long and has lots of side stories about union bosses and strikes that add nothing to the narrative. Finally, there are a total of two rapes in this film, with one of them actually being played for laughs. Leone did this in ""Duck You Sucker"" and caused me to lose all sympathy for Rod Steiger's character as a result. Does Leone not get how such crimes are received in the United States?Overall this film actually transcends the gangster genre. It's not about family or the gangster lifestyle. It's about the passing of time, guilt/regret, memory, friendship and growing old. It's also just as much a mystery as it is a mafia movie, as there is much debate as to whether or not anything that happens in the 1968 segment is even real or is it a heroin induced dream of Noodles as he tries to forget his part in the death of his friends by getting doped up in an opium den. I'd say - You decide. It could go either way."
A_Different_Drummer,"Nov 6, 2013",10/10,"... Directors of all time. Let's start with a story. Many years ago, when your grandfather was still a boy, a failed, beaten-down actor named Clint Eastwood packed up his horse and saddle (speaking metaphorically here), left Hollywood forever (or so he thought) and headed out to Europe to pick up cash wherever he could. He ended up doing a film in Italy for an almost-unknown director named Sergio Leone and an almost-unknown sound guy named Ennio Morricone. The film was (as history would later record) an ""Italian Western,"" that is, as the iconic western drama was all but disappearing in the US, it was being ""re-imagined"" by Italian writers and directors, and then filmed in Italy, using mainly Italian actors. On the set, Eastwood spoke in English and everyone else spoke in Italian. (Dubbing later fixed all that). Filming now over, Eastwood took his cash and left. Weeks later, in a bar in another part of Europe, he overheard mention that a certain film was the leading box office attraction on the continent. The name sounded familiar but, frankly, during production, a final name for the film he'd just done had not even been selected. He investigated. Yes, this was the film he had just completed, now titled A FISTFUL OF DOLLARS. The rest is history. Sort of. Two sequels were done with Eastwood playing the same character. Monster hits.By this point the critics began to acknowledge not only Clint, but also the man behind the camera, Leone, who was one of the most promising directors of the era. HE DID THINGS WITH THE CAMERA THAT NO ONE HAS DONE BEFORE OR SINCE, especially his use of closeups, especially his ability to match powerful emotional orchestrals to key scenes. The fourth film in the series, done by Leone but by this time lacking Eastwood, was ONCE UPON A TIME IN THE WEST. (Eastwood meanwhile had returned to America as a major celebrity, formed his own production company, Malpaso, and over time became a director as well as the #1 box office star. Over the course of his career, Eastwood subtly voiced his distaste for Leone's work by scrupulously avoiding all Leone's trademark camera angles, even in his westerns!)Back to Leone. While he lent his name to a handful of oddball productions, the last passionate work he left behind as his legacy was this film. OMG. What a film. Showcasing not only Leone's talent behind the camera, but also his musical magic as well as his ability to tell a complex tale like no one before him. It was by and large produced in obscure locations in NA, and the performances of the players, especially James Woods, and also de Niro, could possibly rank even today as the best they have ever given. (Also a performance from a young and charismatic Jennifer Connolly that by itself is worth the price of the ticket)The film is magical. But here is the catch. Very few people have ever seen it. Even people who ""think"" they have seen it, really have not. The studio behind the film went berserk when they saw the length and, fearful of losing dollars when they could be changing reels and selling more tickets, they brought in a butcher to shorten it. Now maybe the new editor was not a butcher by trade, but he was sure one by disposition. The late Roger Ebert said that, in his career, this was the most abusive re-edit he had ever seen. The actual film, the one that Leone left, was not seen until years later when the director's version surfaced. It is astounding. It is magical. It is one of the best films ever made. It is a must see. ((Designated ""IMDb Top Reviewer."" Please check out my list ""167+ Nearly-Perfect Movies (with the occasional Anime or TV miniseries) you can/should see again and again (1932 to the present))"
philip_vanderveken,"Sep 19, 2004",10/10,"Many people compare ""Once Upon a Time in America"" with ""The Godfather"". In my opinion these two movies can't be compared. Both are masterpieces in their own way, but each of them has a different style. You don't compare a Picasso to Michelangelo's Sixteen Chapel either, do you?What is it that makes this movie a masterpiece? Well, first of all there is the director. Sergio Leone is a real master when it comes to creating a special atmosphere, full of mystery, surprises and drama... He's one of the few directors who understands the art of cutting a movie in such a way that you stay focused until the end.The way the movie was cut is also the reason why a lot of Americans don't think this movie is very special. There are three versions, but only the European version is how the director imagined it to be. He didn't want his movie to be shown in chronological order (1910's - 1930's - 1960's), but wanted to mix these three periods of time. The studio cut the movie in chronological order, loosing a lot of its originality and therefor getting a lot of bad critics. If you want to see this film the way Sergio Leone saw it, you have to make sure you get the director's cut.The second reason why this movie is so great is the music. Ennio Morricone, who is seen as the greatest writer of film music ever, did an excellent job. Together with the images, the music speaks for itself in this movie. From time to time there isn't said a word, but the music and the images on their own tell the story. He understood perfectly what Sergio Leone wanted and composed most of the music even before the movie was shot.Last but not least there is also the acting and the script. The actors all did an excellent job. But what else can you expect from actors like Robert De Niro, Joe Pesci... They helped making this movie as great as it is by putting there best effort in it. The script helped them with it. It took twelve years to complete, but it hasn't left any detail untouched. The writers really thought of everything when creating it.I can really recommend this movie to everyone, but especially to people who like the gangster genre. When you want to see the movie, you better be sure that you will have the time for it. This isn't a movie that is finished after 90 minutes. You'll have to be able to stay focused during 3 hours and 47 minutes, which will certainly not be easy during the first 20 to 30 minutes. Some scenes at the beginning only make sense when you have seen the end of the movie. But when you are able to stay focused, you'll find this one of the best movies you've ever seen. I certainly did and I rewarded it with a well deserved 10/10."
bob the moo,"Sep 21, 2002",N/A,"Noodles returns to the New York of his youth in response to an invitation to come and meet.  His return is his first for half his life having fled New York to avoid being killed for ratting out his gangster friends.  His return is mysterious and he doesn't know why he has been summoned.  His return sparks memories of his childhood and adulthood growing up in the area with his friends and eventual business partners.A three and a half hour movie may not be everyone's idea of fun.  On the other hand, many people who see a running time over 180 minutes immediately assume it is an epic that must be `the greatest film ever made'. In this case the time is worth the effort, even if it a little luxurious and overlong.  The plot is too sweeping to go into detail, encompassing 30 years in the main part and a further 30 by way of suggestion.  Basically it comes down to Noodles memories of his life when he was growing up, up till the point we find him now, as an old man with little but those memories.  As a story this is moving and involving.  There are maybe too many lingering shots of Noodles staring into the distance but these don't feel as lazy as they have in other films.Noodles past and the misery of him now is involving enough, but the main thread is Noodle's past, both childhood and adulthood in crime and love. The sheer detail that must be covered is well done.  The film not only includes many major events but also minor things like the scene where the boy is tempted to eat a cream cake!  This mix is very rewarding and makes it feel a lot more detailed than it actually is.  The story is a real feel of several generations of crime and is very involving.The cast make the film and hold the attention during the scenes that are longer than they should be etc.  De Niro convinces as youth and bitter old man and holds the eye easily as both.  Woods is much better than usual even if his character is the same.  McGovern is good considering she has a minor role, but as an `old woman' she looks the same as she was when she was young.  Actors like Williams, Aiello, Forsythe, Hayden etc easily fill out the gangster etc roles without falling into cliché or caricature.  Just as rewarding are the child actors who carry the first hour of the film.  Not only do they actually look like the actors in question, but they also do a very good job.  There are some bum notes but they do mange the innocence of youth with the emotional basis for the rest of the film.The direction is excellent  both gritty streets but with an affectionate slant of Noodles' memories.  The direction is made almost perfect by the use of Ennio Morricone's score.  It is at once haunting but slightly warming and `Debra's theme' has become one of my favourite tunes.  The overall effect is one of a rich tapestry that eventually weaves into a very personal epic of regret and loss.An excellent film that deserves to be recognised as both one of the great crime epics but also a personal and moving film."
RobertCartland,"Jan 17, 2000",10/10,"This film is a profound expression of truth regarding friendship and betrayal.  Noodles, played by Robert De Niro and Scott Tiler (during childhood), is a simple man and a thug with one credo: you can battle the entire world but you never betray a friend.  During the course of this film we experience various pieces of Noodles's life, from childhood, through young adulthood and old age. We learn what happens to his friends, his foes and the love of his life, Deborah.  The time span considered is long, including Noodles's childhood shortly after the turn of the century, through the prohibition era, and finally the 1960's.The film is about relationships; the many years Noodles spends away from his friends receive only a cursory mention. The film, like life and memories, unfolds slowly and reflectively. Sergio Leone's cuts are long and each scene is beautifully amplified my Ennio Morricone's haunting score.  The story is not told chronologically. Instead, the chapters of the story are slowly revealed like pieces of a great jigsaw puzzle. Each delicious piece might make us laugh, or cry, or smile, or feel shock.  But, as each piece falls into place, a mystery unfolds. When the final piece is revealed, the true essence of the story becomes clear and a sad and beautiful tapestry comes into view.This film is a true masterpiece, expressing a profound statement about friendship and betrayal, with fantastic acting, writing, directing and music.  There is a shortened, two-and-a-half-hour version of the film released that is a disaster.  It is like trying to understand a jigsaw puzzle with half of the pieces missing. The original four-hour film can be viewed and enjoyed several times and each time the viewer will see something new."
oldguybc,"Jan 11, 2005",10/10,"This movie was a masterpiece. It ranks as one of the very best in film history, if not the best. At Cannes people yelled and screamed, couldn't believe just how good it was. The profound atrocity was a combination of two completely brainless acts, the first being Zack Stienberg's hatchet job for US release, supposedly requested by either Warner Bros or The Ladd Company (one blames the other now) and the second was the lack of anyone (and everyone)to post anything in this great film for Academy Award consideration, of which probably as many as 14 nominations and 4 sure- fire Oscars went down the toilet.These atrocities were perpretrated, I believe, with two reasons in mind, the first to preserve the dim hope of ""The Killing Fields"" (Daly & Semel's baby) of garnering any awards... and second, to try to boost up the non- foreign chances. Warner Bros knew just how good it was, that goes without saying. The problem was... they already had their share of cash cows and they wanted a real star- studded showpiece to point at. The small minds already had their showpiece but, alas, it was an ""eye- tallyan"" flick with a producer/director who didn't communicate well. The hatchet job was carefully planned, I believe... the so- called ""sneak preview"" was done in Canada and not well received, probably due to the fact that the sound system was over- amped and the film 'broke' 3 or 4 times during the showing, what a farce! The awards snub started with the GGs and carried right thru. What a myriad of stupid and utterly pointless decisions! Must have literally tore Leone's heart out when he learned what they had done.Morricone's score was a sure- thing Oscar, no question about it. DeNiro and maybe even Woods would have fought it out for best actor, Tuesday Weld as supporting actress, any one of 4 or 5 other supporting actors & actresses, most notably William Forsythe, cinematography, film editing, the list goes on & on... (best picture...Amadeus???? give me a break!!) Just what in the hell were they thinking?Saw it in a theater 20 years ago and then again on TV about 1998 and finally in its correct format(on DVD) about two years ago and again last week at a friend's house. Stirred up all those angry thoughts all over again... sorry about that, getting' old & crotchety."
Quinoa1984,"Oct 19, 2003",10/10,"It's been said that when one watches a ""spaghetti"" western (one of the ""Man with no name"" films with Clint Eastwood) filmmaker Sergio Leone's trademark cinema style and flair for clear storytelling is instantly recognizable. This is no truer than in his most ambitious effort, Once Upon a Time in America, in which his usage of close-ups, concise camera movement, sound transitions and syncs, and the sudden change in some scenes from tenderness to violence. And, he pulls it off without making the viewer feel dis-interested. Of course, it's hard to feel that way when watching the cast he has put together; even the child actors (one of which a young Jennifer Connelly as the young Deborah) are believable. Robert De Niro projects his subtitles like a pro, with his occasional outburst in the right place; James Woods gives one of his first great performances as Max; Elizabeth McGovern is the heart of the film; and Joe Pesci should've had more than just a one scene appearance, thought it's still good.It's a story of life-long friends, in the tradition of the Godfather movies with obvious differences, and the story cuts back and forth to Noodles (De Niro) in his old age returning from exile, looking back on his childhood in Brooklyn, his rise to power with his partners, and the twists come quite unexpectedly. The pace is slow, but not detrimental, and it gives the viewer time to let the emotions sink in. The story is also non-linear, and yet doesn't give away facts to the viewer- this is something that more than likely influenced Tarantino (and many others) in style. By the end, every detail that has mounted up makes the whole experience rather fulfilling, if not perfect. Finally, I'd like to point out the exceptional musical score. Ennio Morricone, as it says on this site, has scored over four hundred films in forty years, including Leone's movies. This would have to be, arguably, one of his ten best works- his score is equally lively, saddened, intense, and perhaps majestic for a gangster epic. Overall, it's filled with the same spirit Leone had in directing the picture, and it corresponds beautifully- there are some scenes in this film that would simply not work without the strings. Grade: A"
tgdane,"Jan 6, 2002",10/10,"Once Upon a Time in America, which bookends Once Upon a Time in the West as director Sergio Leone's best work, is a powerhouse of a movie. A gangster epic told in a very different style than the standard of the genre, The Godfather, it is in some ways (at least to this viewer) even more emotionally compelling. Although the movie was sabotaged upon release by an edited studio version eliminating about 40% of its original length, the version now available for rental is thankfully the nearly 4 hour version intended by Leone.  The story is at essence a basic one about friendship among thieves, telling the story of a group of Jewish kids in New York near the turn of the century who grow up to become powerful and ruthless mobsters, while maintaining (or trying to) their bond with one another.  As was most famously done in the taxi scene between Rod Steiger and Marlon Brando in On The Waterfront, the movie again makes the point that bad people can have good aspects to them, such as loyalty, devotion, and even love. I think this movie includes one of Deniro's best roles, and far and away James Woods best film work. The score, by arguably the greatest movie composer of all time, Ennio Morricone, is incredibly haunting in its beauty and sadness (with no fewer than three separate themes that are breathtakingly beautiful).  The non-chronological manner in which the story is told results in a wonderfully effective narrative device:  the movie begins and ends with the same scene.  The first time you see the scene, it is a frantic jumble, without meaning or context, and you do not know why it is so important.  When the scene recurs at the end of the film, everything has become clear, and the scene has an incredible poignancy and sadness to it:  although it occurs in the middle of events chronologically, you realize that, in a real sense, life stopped at this point for one of the film's main characters.  There is no other event that matters anymore to him. This is not a simple movie, and it merits repeated viewings.  Indeed, in my view one cannot fully appreciate the greatness of the film until the second viewing, when the full story is known, and the  events of the film resonate with knowledge of where they ultimately, and tragically, lead."
goggy turk,"Dec 25, 2000",10/10,"I decided, on Christmas Eve, to reacquaint myself with an old friend- Sergio Leone's heavyweight gangster epic, which I had previously watched in two sittings, 10 years previously, at Uni.I was rewarded with a movie of tremendous vision and creative style as well as emotional integrity. When you take an idiosyncratic, brilliant, stylish director like Leone, his composer counterpart, Morricone, and a cast including two of the foremost actors of their generation (de Niro and Woods) then you have an idea of the kind of quality this film has. In fact, the only gangster movie(s) I've seen that match it are the first two Godfathers (in fact Leone almost directed those too... now that would have been interesting).In contrast to earlier Leone Westerns, the characters are more fully developed- although the detachment of the characters in these movies made for a more rollercoaster, loose style of cinema, no one was ever going to win an award appearing in one, although they were all great movies.Although I could tell I was in a Leone movie almost from the beginning, what was different was the inner lives of the characters dictated the way the plot flowed in a pleasing way. I also think that the performance de Niro put in was the best of any film I've seen him in, and that includes any Scorcese picture. To make the audience actually care about a character who does such evil (including raping the woman he loves) is a towering achievement. The apparent effortlessness with which he achieves this is a mark of true greatness. Leone's style of filmmaking, with its long silences and pauses and (in this case) slow pace suit de Niro's style of acting perfectly. It's a real pity that they never had the chance to work together again.I think this a great film, and, at 3 3/4 hours, it kept me at least interested and often gripped all the way through. Why are Hollywood studios scared of movies like this? Some people out there love them."
guyzradio,"Oct 18, 2018",6/10,"Perusing Netflix, I recognized this movie title and the names Sergio Leone and Ennio Morricone; I particularly enjoyed the music of Cinema Paradiso, also the work of Morricone. The line-up of actors pulled me right in, but to what? After watching for a little while, I looked up the movie and noted how 10 hours of film were sliced and diced to a disastrous 2h 19m for US release, whereas the 3h 49m release was the one to make everything right. Well, at least I had that going for me.At the end, it was still a disappointment. A movie that forces you to pay fanatic attention to detail to ""get it"" is not the product of good direction. It is the result of a riding on one's own name to varnish a deeply flawed product as ""art."" Even at 3h 49m, continuity suffered. The flashback method of story telling was clumsy and not handled nearly as smoothly as in its inspiration, Godfather II. The fact that these were kids from a Jewish neighborhood was inconsequential. Things happen in the movie often for no apparent reason and go nowhere, the opening 10 or 15 minutes being a prime example. Even the music of Ennio Morricone seems worn out by the end, as the same theme repeats throughout scenes where it seems misplaced or simply gets in the way.You might will dismiss this review as the ramblings of someone who isn't sophisticated enough to realize what a masterpiece this really is. My guess is there is a coherent, thought-provoking story somewhere among the frames that made it to the screen and what was left on the cutting room floor. This still isn't it. To suggest that less than a point separates this move from The Godfather I just doesn't pass the sniff test."
dicknerd,"Sep 3, 2024",5/10,"I invested nearly four hours into watching this movie, largely based on an IMDb rating of 8.4 and having skimmed user reviews and seeing headlines that used descriptors of ""best ever"", ""epic"", ""masterpiece"", ""wonderful"", ""profound"", ""superb"", and ""beautiful"". Now usually I find that my taste in movies aligns to the IMDb reviews, so away I went. Mistake. After around 2 hours I was still quite invested and enjoying it, but then....not so much....at all. The pace is slow, the musical score by Ennio Morricone is indeed classical but at times seems set a mood that is incongruent with the plot and characters, especially towards the end when Noodles and Deborah are looking at each other over soft romantic music, considering the atrocious way that he assaulted her. So by that point the score was just annoying me.By the end I was wondering what robust conversations must have been had when it was edited multiple times to run between 6 and 2 hours before deciding on just under 4 hours. At least I didn't have to sit through the 6 hour version. I mean if you're studying film and want to write a dissertation on the movie and the acting ability of DeNiro and Woods, there's lots of material there to work with, but if you just want to enjoy the plot and engage with the characters, then not so much. After 3 hours and 49 minutes I thought that was a waste of time."
