user,date,rating,content
gogoschka-1,"Dec 26, 2013",10/10,"Personally, I've never seen anything as original in an animated film as in this deeply mythical fairytale. What a surreal idea for a movie! It's hard to find an adequate description (because I also don't want to spoil this in the slightest way) but this film has a sense of ""otherness"" to it - for lack of a better word - like none I've ever seen. And the strange, mythical nature of this film - apart from the amazing artwork - is probably one of the main reasons for its appeal to me.Maybe the themes of the story don't feel quite as strange to an eastern audience because they fit to a certain degree with some eastern/Asian mythologies - to me, this beautiful piece of wonder was something new. And a profoundly moving experience.Outstanding animation; funny, weird, scary and touching at the same time, this unique work of art is one I can't recommend enough. 10 out of 10.Favorite films: http://www.IMDb.com/list/mkjOKvqlSBs/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/Favorite Low-Budget and B-Movies: http://www.imdb.com/list/ls054808375/"
shanebuckland,"Nov 4, 2002",10/10,"There is simply no denying that Miyazaki is the Godfather of Japanese Animation, time and time again delivering works of such incredible beauty, such stunning visual and sensory delights, such mastery of storytelling, that one can only be left speechless. Overwhelmed. Intoxicated with wonder. Such is the magic of Spirited Away.Much like Miyazaki's previous feature Princess Mononoke, Spirited Away is an epic fantasy that deserves no better medium than the stunning animation work of Studio Ghibli. This multiple award-winning masterpiece has grown to become the largest grossing film in Japanese history, and rightly so. From the moment our child heroine Chihiro enters the bath houses we are literally bombarded with an overwhelming sense of detail and rich, lavish colours rarely - if ever - seen in Western animation. Scenes such as Chihiro running through the field of flowers, the marvellous landscapes seen from the train, Haku and Chihiro soaring the skies above, and Chihiro running across the pipe to climb the walls of the bath house are nothing short of breathtaking, and undoubtably some of the most lavish animation ever to hit the screen.The world of Spirited Away is bustling with life; unique, quirky, instantly lovable creatures jostling about their daily activities and tasks in the bath houses, dancing across the screen like leaves caught in a playful summer breeze. The inventiveness of Miyazaki's character designs is wonderful to behold, in fact not since classic tales like Lewis Carroll's Alice In Wonderland and The Neverending Story have we been able to fall hopelessly in love with such original, quirky, magical, and fantastical characters. The viewer is plunged headfirst into another world for nearly two hours and one cannot help but be completely and utterly captivated.The music and original score is stunningly beautiful, the original Japanese language track of such high quality that one wonders why someone could insult the work by producing a dub track at all. With a plot differing in its complexity on so many levels, from the basic storyline to the omnipresent universal themes, to the riddling of Japanese history and fable throughout, children and adults alike will be mesmerised from start to end. A magical, awe-inspiring, tearful, laughter-filled, heartfelt journey through a land of sweeping fantasy and dreams. Prepare to be Spirited Away......"
Balibari,"Oct 18, 2004",9/10,"Last year I saw Spirited Away on it's UK release. I've never been a particular fan of anime, and it didn't really occur to me that I was watching a foreign language film dubbed into English (or 'American'). I can't imagine seeing a live action foreign language film dubbed into another language, but hey, this is a kids cartoon, what does it matter? Up to a point it didn't, because I loved the film. I enjoyed it so much I set about digging up the Studio Ghibli/Miyazaki back catalogue, in the process Sprited Away was filed away as one of the lesser Ghibli's - still great, but compared to Laputa, Grave of the Fireflies and a few others, it seemed a little weak.BUT... I recently re-watched it on DVD with the subtitles and found the difference unbelievable. The film came alive like the other Miyazaki's I've seen. It seemed infinitely more layered, detailed, intelligent and witty than I remembered. Could it be that retaining the intended performances (even if the words are unintelligible) can make that much difference? Maybe the dub was just poorly done? Or was it just because I was now versed in the language of Ghibli? As a little experiment I decided to re-watch some of the film with both the English subtitles and English language dub in order to compare, I ended watching the whole thing out of morbid fascination. It's simply amazing what a difference there is. Entire scenes change. It's not just that subtle emphasis is shifted or the same points are made in a different manner - in the dub, the subject of whole conversations and scenes are changed, and often to some flat and uninteresting hokum. Relationships between characters are changed, their motivations and personalities are changed, the difference is shocking.I appreciate western, and particularly American audiences can be put off by subtitles. And cinemas are less likely to show the film anyway. It's pointless to be all righteous when, fundamentally, you just want people to see the film. Unless they do, this treasure trove will remain undiscovered, and maybe finding it will encourage people to conquer the 'subtitle demon' (as Miyazaki might call him). But the problem is the quality of these dubs, and the liberties taken with the source material. Of course, without speaking Japanese, who can say it's not the subtitles that are way off? They're probably written by westerners too. But the dub just stinks of Disneyfication. Saturday morning generic nonsense. The challenging, uncompromising and emotionally ambitious nature of the film is severely watered down.A fair question might be, 'if it's so bad why was it so successful?' The success is evidence of the films staggering quality. Even so, it hardly challenged whatever Jerry Bruckheimer movie was showing at the time. In Japan it's the biggest grossing film in history. 'Go figure,' as Chihiro wouldn't say."
Le-Samourai,"Jul 20, 2004",N/A,"'Spirited Away' is the first Miyazaki I have seen, but from this stupendous film I can tell he is a master storyteller. A hallmark of a good storyteller is making the audience empathise or pull them into the shoes of the central character. Miyazaki does this brilliantly in 'Spirited Away'. During the first fifteen minutes we have no idea what is going on. Neither does the main character Chihiro. We discover the world as Chihiro does and it's truly amazing to watch. But Miyazaki doesn't seem to treat this world as something amazing. The world is filmed just like our workaday world would. The inhabitants of the world go about their daily business as usual as full with apathy as us normal folks. Places and buildings are not greeted by towering establishing shots and majestic music. The fact that this place is amazing doesn't seem to concern Miyazaki.What do however, are the characters. Miyazaki lingers upon the characters as if they were actors. He infixes his animated actors with such subtleties that I have never seen, even from animation giants Pixar. Twenty minutes into this film and I completely forgot these were animated characters; I started to care for them like they were living and breathing. Miyazaki treats the modest achievements of Chihiro with unashamed bombast. The uplifting scene where she cleanses the River God is accompanied by stirring music and is as exciting as watching gladiatorial combatants fight. Of course, by giving the audience developed characters to care about, the action and conflicts will always be more exciting, terrifying and uplifting than normal, generic action scenes.Through Chihiro, Miyazaki is clearly (but non-patronisingly) talking to youth of Japan. There's a certain sense of revile about the youth of Japan at the moment. Many people consider them to be ill-mannered and baring no respect for their elders or their forefathers. They are simply bi-products of their material world and consumerism. 'Spirited Away' taps into this. At the start Chihiro is a selfish, spoiled, whiny brat. But as she plunges deeper into the spirit world, she becomes more independent, more assured, more respectful and learns some manners. No Face, a black figure with a white mask, is the catalyst behind Chihiro's transformation. Once he is let into the bathhouse, we are no longer tourists  the story propels forth. Watching No Face prey on the greed of the workers is a terrifying delight. The three main characters in Miyazaki's youth allegory are Chihiro, No Face and Bô. All of these characters are disconnected with their world. They are lonely, misunderstood and largely ignored. But when they go on their journey together, they united and become stronger individuals.Miyazaki also talks about the ecology of Japan. What was once a beautiful; grassland has now turned into the Asian New York. That The Last Samurai had to be filmed in New Zealand to get a turn of the century Japanese look speaks volumes. The River God sequence is an unsubtle but unpretentious commentary on pollution. While these two themes are very much current in Japan, they are also universal themes  which makes 'Spirited Away' a universal story that most of us can connect with. I'm willing to bet everyone reading this has at some time seen bicycles lying on a lake bed or have had a child talk to them disrespectfully. Sure these themes aren't advanced philosophy. They are everyday issues told in an inventive, fun way.The animation is wonderful, if not as smooth as Disney's works  but there's something superior to that. 'Spirited Away's imperfect, but detailed world is far more fascinating than the perfected blandest of Disney's latest offerings. The animators successfully balanced the tight-rope between not-enough animation on characters and too much animation on characters. No Ralph Balski ADD antics here! The film is full of vivid images  both beautiful and horrifying. The line between those two extremes is crossed over seamlessly. From Chihiro and Haku running through an opening flower field to Haku's dragon snarling with a bloody mouth, both extremes seem to belong in the film. It's also excellently done with the characters. Kamaji can be seen as a scary, daunting figure at the beginning, but soon he seamlessly changes into a humble, wise figure. Yubaba also seems to be able to turn from kind to witch with the snap of a finger.The sound on the film was expertly done. The sounds perfectly match the on screen actions and objects. My sub woofer got a wonderful workout when Haku swoops Chihiro past the bridge at the beginning. And while I don't speak Japanese, I think the voice actors did a wonderful job of conveying their personality and emotions true their voice. Joe Hisaishi's music is sublime, definitely one of my favourite scores. His main piano theme is simple and evocative. His thunderous action music hits the viewers on the chest like a hammer. Like all great scores it heightens the greatness of a scene about three times. The score, unlike many American composers', is unobtrusive. It plays excellently with the scenes, but never overbears them. A lot of the time the it is barely noticeable, a sole piano plays softly in the background evoking a dreamlike/lullaby quality.'Spirited Away' is a simply a modern masterpiece, easily one of the Top 10 films of the new millennium. It works on a multitude of levels; a social commentary on Japan, a homage to ancient Japanese/Russian mythology, a moral film for both children and adults. But most importantly, it is a simple story brilliantly told by a great filmmaker who appears to be at the top of his game. 'Spirited Away' works much like a relaxing journey. Pop in the DVD; leave this world for two hours and when you will be almost certainly enriched and ready to take the trip again."
0U,"Feb 15, 2020",10/10,"Despite an overlong run time, Spirited Away is a visually stunning film filled with some of the most imaginative characters I've ever seen. In addition to the visuals, the music is beautiful, and the story has something for audience members of all ages."
supertom-3,"Apr 2, 2004",10/10,"This is a wonderfully imaginative and fantastical children's fantasy. It is easy to see why it was perhaps the critical hit of 2002. The film is glorious to look at. It is a testament to old fashioned animation techniques that seem to be resigned to foreign animations. Of course there is some use of computer imagery for certain shots but they blend seamlessly and the overall artistry involved is superlative.This is the first Hayao Miyazaki film I have seen and I will certainly watch his others. The story plays on many elements successful with kids films, that transport you back to your own childhood and also allows the young audience to connect with the themes in the movie too. The story centres around Chihiro, a young girl about to move into a new place and who feels insecure about the new environment she will be living in. These fears become a part of her encounter with a strange abandoned amusement park that she and her parents find when they reach a dead end in their car. At the park they find that their is a stall that is seemingly open, with glorious displays of mouth watering food. There are no people about but Chihiros parents decide to gorge themselves on this bounty and pay later. As Chihioro explores she comes across a strange boy who warns her to get out before dark. It is too late however, because as night falls, ghosts are awakened, and then by the time she gets back to her parents they are turned into pigs. She then finds that the route she came from is gone and she is now trapped in this place, her only allie being the boy she met earlier. She is told to get a job at the centre piece of the park, a bath house run by Yubaba, an evil power mad witch. This is a bath house for the spirits and Chihiro has to find a job there before she is found and turned into an animal herself, then unable to save her parents.The story is imaginative and the characters and animations endlessly unique and strange. This is just so much more creative than Hollywood. The characters are likeable and we become engrossed with Chihiros adventures inside this bathhouse, and the characters she comes into contact with as she tries to get her parents back as humans and whilst trying to get back to the human world. What I also loved in this film is that the animation gives it a real sense of cinematography, the drawing makes the film stand out in a way that American animations rarely do. Another film I think of that looked really good was Bellville Rendezvous. Another great point in fact the best part of it, is the fantastic score. It really is uplifting and very original. This is just great film making. *****"
Nextwiggin,"Mar 28, 2006",10/10,"I have some advice to anyone that hasn't seen this movie or did not like it but is attempting to watch it again: do not look at this movie the same way you look at western movies. This movie is meant to be a fable, and thus is chock full of metaphor. In fact, since it is set in the spirit world, EVERYthing is a metaphor. I don't want to impose my own views as to what those metaphors may mean, but it is important to accept, in a sense, that this movie doesn't have a plot. At least, not in the conventional sense. It would be better viewed as an exploration. Of what, I'll let you decide. Watch the movie, try to figure out what all the characters mean, why some are portrayed in a more favorable light and others not. It is also important to remember that, unlike western art in general, many of this movie's metaphors and messages have more than one meaning. I get the sense from reading the posts of other people, as well as some reviews, that many people have trouble realizing/accepting this. But, in my opinion, it is essential to move past this to truly enjoy and understand the movie and its message. The implication of this is also that it is impossible to fully understand the movie in just one viewing (or two, or many more). Like a painting, we are meant to look at this movie from different perspectives; close up and from far away and in different lights. All this is why I consider Spirited Away my favorite movie, and I hope that my advice will help some people see it in a different light. I don't claim to have all the necessary information to understand this movie, but rather I think I can help some people people who have trouble with this sort of movie and art enjoy it a bit more. So... have fun!"
sailvane-1,"Jan 12, 2005",10/10,"Actually I dislike his or her comments badly. If you didn't get it watch it again. This is not a piece to just entertain, the creator has put his own feeling and I believe life experience and the fear always buried in children's mind into it. It is a comely tale that express the creator's thoughts in some way, whilst shining as a attractive animation piece with so many details that you might have ignore if you were careless. It is a rich story and I can see the efforts creators put into it in many spots and frames.e.g. While Chihiro was walking towards the garden where Haku told her to meet him, she passed some stairs where she can see an island, there are some house on it, she stopped for it for a little while, that, represents her longing to human world, her own world, this kind of details can be ignored by many people but they don't mind putting it in to make the whole story richer, more truthful, full of power of humanity.Apart from that, did you ever notice that some ""camera language"" was used very well to tell the story in a more entertaining and better pace.e.g. When Kamaji was telling Chihiro how Haku turned up to this world before just like what she did, the ""camera"" panned to where the little rat(changed from the fat baby)was showing off to soots by putting his foot into the spell melted print while Kamaji's introduction about Haku's background is also getting across to the audience. This is just one of the details that shows how much story telling skills and rhythm control of plots.There're many other things like this, shouldn't be ignored if you want to make a nice comment, even though as an American viewer you might miss a lot of the story by lack of the culture background, but that's not the reason that you can comment it as anyway you want without even really READ the film.I am a visual effects person and film maker but I can't tell where the jerking of the footage and the stopping of character's movement are in the film. could Gazzer please enlighten us? As also a fan of Pixar I hope I don't have bias on either American animations or Japanese ones, but as a Chinese who might have some resistance towards Japanese products for national esteem or historic reason, I still admires Ghibli Studio's work. ""Spirited Away"" is a masterpiece of elegant picture and touching story, if Gazzer-2 knows what that means.""Ice Age"" was a pretty cute one of Fox productions, but not good enough to compete with ""Spirited Away"" I'm afraid. And I'd laugh at the opinion that the story of ""Ice Age"" is much simpler hence Oscar committee didn't recognise it, actually I believe ""Spirited Away"" was beautifully hand-painted frame by frame while ""Ice Age"" had a giant crew in 3d animation and visual effects. I'm afraid Ice Age was the much more complicated one."
planktonrules,"Jun 11, 2007",9/10,"I have seen many international films over the years and quite a few of these were Japanese. In addition, unlike many parents, I have seen a lot of anime that my kids have watched so at least I have some familiarity with the medium. Yet, with my background I still felt pretty confused and baffled by the strangeness of this movie. Now this isn't to say I didn't like it, but so many times I just couldn't understand exactly what was happening. Interestingly, when I saw the film again, I understood it much better and appreciated it much more. And this may be exactly how you might want to approach the film unless you already are a die-hard anime fan. See it, but be willing to see it without trying to think out the odd plot too much or even try seeing it several times. I know that each time I did, the film became more and more enjoyable and I began to notice so many cultural references. Now, several years after I first saw it in the theater, I have seen a lot more Japanese anime and films and it's practically second-nature to follow the film. So, for adults and those unfamiliar with the medium, this movie might take a bit of effort to fully enjoy, though with more and more children being familiar with and loving anime, it's very likely your kids will love it and will then be able to explain it to you!! As for the film, the animation is the best I have seen in any Miyazaki film, the story deep and fascinating and it's full of cute and endearing little touches that make the movie magical. See this with an open mind, please."
kellokchu,"Jun 27, 2019",10/10,One of the best movies I've ever watched and is still stuck with me til this day.
